,co,pm25,no2,is_holiday,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos
2024-01-29 13:00:00+07:00,6.448889394146858,3.793239469438179,2.272125885509337,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2024-01-29 14:00:00+07:00,6.466144724237619,3.7819143200811256,2.501435951739211,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2024-01-29 15:00:00+07:00,,,,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2024-01-29 16:00:00+07:00,,,,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2024-01-29 17:00:00+07:00,,,,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-29 18:00:00+07:00,,,,0,-1.0,-1.8369701987210297e-16,0.0,1.0
2024-01-29 19:00:00+07:00,,,,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
2024-01-29 20:00:00+07:00,,,,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-29 21:00:00+07:00,,,,0,-0.7071067811865477,0.7071067811865474,0.0,1.0
2024-01-29 22:00:00+07:00,,,,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
2024-01-29 23:00:00+07:00,,,,0,-0.25881904510252157,0.9659258262890681,0.0,1.0
2024-01-30 00:00:00+07:00,,,,0,0.0,1.0,0.7818314824680298,0.6234898018587336
2024-01-30 01:00:00+07:00,,,,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
2024-01-30 02:00:00+07:00,,,,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2024-01-30 03:00:00+07:00,,,,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336
2024-01-30 04:00:00+07:00,6.840546529288687,4.428433007488037,2.8154087194227095,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2024-01-30 05:00:00+07:00,6.918695219020472,4.3489867805956814,2.803360380906535,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2024-01-30 06:00:00+07:00,6.767343125265392,4.268297869345539,2.7343675094195836,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2024-01-30 07:00:00+07:00,6.8001700683022,4.31748811353631,2.639057329615259,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2024-01-30 08:00:00+07:00,6.879355804460439,4.324132656254979,2.6741486494265287,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2024-01-30 09:00:00+07:00,6.82001636467413,4.185098925490565,2.6741486494265287,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
2024-01-30 10:00:00+07:00,6.79794041297493,4.21803603456465,2.740840023925201,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
2024-01-30 11:00:00+07:00,6.8658910748834385,4.291828366755733,2.7343675094195836,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
2024-01-30 12:00:00+07:00,6.90875477931522,4.275276264727001,3.005682604407159,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2024-01-30 13:00:00+07:00,6.880384082186005,4.3489867805956814,2.89591193827178,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336
2024-01-30 14:00:00+07:00,6.8658910748834385,4.333361462692601,2.827313621929028,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2024-01-30 15:00:00+07:00,7.01301578963963,4.411585436915426,3.039749158970765,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336
2024-01-30 16:00:00+07:00,7.074116816197362,4.463606621666305,3.131136910560194,0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336
2024-01-30 17:00:00+07:00,7.155396301896734,4.4272389774954295,3.2308043957334744,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2024-01-30 18:00:00+07:00,7.3658128372094716,4.4942386252808095,3.3877743613300146,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
2024-01-30 19:00:00+07:00,7.518064181233078,4.560172820057356,3.339321977944068,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336
2024-01-30 20:00:00+07:00,7.534228326274089,4.583946549536464,3.292126286607793,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2024-01-30 21:00:00+07:00,7.53955882930103,4.61015772749913,3.3250360206965914,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336
2024-01-30 22:00:00+07:00,7.450660796211539,4.653960350157523,3.4011973816621555,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
2024-01-30 23:00:00+07:00,7.403061091090091,4.599152113662528,3.3214324131932926,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336
2024-01-31 00:00:00+07:00,7.280008252884188,4.483002552013883,3.1822118404966093,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2024-01-31 01:00:00+07:00,7.1631723908466425,4.462453883786496,2.970414465569701,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2024-01-31 02:00:00+07:00,7.048386408721883,4.566429357671661,2.766319109226186,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2024-01-31 03:00:00+07:00,6.848005274576363,4.399375273008495,2.4765384001174837,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434
